No,name,dai,name1,yomi,name2,lat,lon,address
1,001jinmu,初代,神武天皇陵,じんむてんのうりょう,畝傍山東北陵,34.49759397,135.7880206,〒634-0061 奈良県橿原市大久保町
2,002suizei,第2代,綏靖天皇陵,すいぜいてんのうりょう,桃花鳥田丘上陵,34.50074171,135.789815,〒634-0813 奈良県橿原市四条町 字田ノ坪
3,003sujin,第10代,崇神天皇陵,すじんてんのうりょう,山邊道勾岡上陵,34.55809721,135.8490945,奈良県天理市柳本町
4,004keikou,第12代,景行天皇量,けいこうてんのうりょう,山邊道上陵,34.55087763,135.8487541,奈良県天理市渋谷町
5,005oujin,第15代,応神天皇陵,おうじんてんのうりょう,惠我藻伏崗陵,34.56298101,135.6093687,〒583-0857 大阪府羽曳野市誉田６丁目
6,006seinei,第22代,清寧天皇陵,せいねいてんのうりょう,河内坂門原陵,34.54905734,135.6003862,大阪府羽曳野市西浦６丁目
7,007ninken,第24代,仁賢天皇陵,にんけんてんのうりょう,埴生坂本陵,34.55661409,135.596564,大阪府藤井寺市青山３丁目
8,008ankan,第27代,安閑天皇陵,あんかんてんのうりょう,古市高屋丘陵,34.54878427,135.6093513,大阪府羽曳野市古市５丁目
9,009bidatu,第30代,敏達天皇陵,びだつてんのうりょう,河内磯長中尾陵,34.51206913,135.6354685,大阪府南河内郡太子町大字太子
10,010youmei,第31代,用明天皇陵,ようめいてんのうりょう,河内磯長原陵,34.51696916,135.644191,大阪府南河内郡太子町大字春日
11,011suiko,第33代,推古天皇陵,すいこてんのうりょう,磯長山田陵,34.51212692,135.6496095,〒583-0992 大阪府南河内郡太子町山田３３２０−２
12,012tenji,第38代,天智天皇陵,てんじてんのうりょう,山科陵,34.99754454,135.8070358,京都府京都市山科区御陵上御廟野町
13,013tenmujitou,第40代・41代,天武天皇・持統天皇陵,てんむてんのう・じとうてんのうりょう,檜隈大内陵,34.46888387,135.8078931,奈良県高市郡明日香村大字野口
14,014rokujotakakura,第79代・80代,六条天皇・高倉天皇陵,ろくじょうてんのう・たかくらてんのうりょう,清閑寺陵,34.99401802,135.788045,京都府京都市東山区清閑寺歌ノ中山町
15,015chukyo,第85代,仲恭天皇陵,ちゅうきょうてんのうりょう,九條陵,34.97430762,135.7767413,京都府京都市伏見区深草本寺山町
16,016gohorikawa,第86代,後堀河天皇陵,ごほりかわてんのう,觀音寺陵,34.97923117,135.7816324,京都府京都市東山区今熊野泉山町・泉涌寺内
17,017shijou,第87代,四條天皇陵、他,しじょうてんのう,月輪陵,34.97749511,135.7819211,京都府京都市東山区今熊野泉山町・泉涌寺内
18,018godaigo,第96代,後醍醐天皇陵,ごだいごてんのうりょう,塔尾陵,34.38487961,135.8678679,奈良県吉野郡吉野町大字吉野山字塔ノ尾・如意輪寺内
19,019gomurakami,第97代,後村上天皇陵,ごむらかみてんのうりょう,檜尾陵,34.43751481,135.6014411,大阪府河内長野市寺元??観心寺内
20,020koumei,第121代,孝明天皇陵,こうめいてんのうりょう,後月輪東山陵,34.97756062,135.7829546,京都府京都市東山区今熊野泉山町泉涌寺内
21,021taisho,第123代,大正天皇陵,たいしょうてんのう,多摩陵,35.65039721,139.2800367,東京都八王子市長房町・武蔵陵墓地
22,022showa,第124代,昭和天皇陵,しょうわてんのう,武藏野陵,35.65133724,139.2815068,東京都八王子市長房町・武蔵陵墓地
